MISSION_LOG: t=2025-04-15T18:49:05.014Z | Mission 10_0_2_15_20250415184905_b0y64d STARTED for robot at 10.0.2.15
MISSION_LOG: t=2025-04-15T18:56:51.777Z | Mission undefined STOPPED for robot at 10.0.2.15
MISSION_LOG: t=2025-04-15T18:56:52.102Z | Mission undefined STOPPED for robot at 10.0.2.15
MISSION_LOG: t=2025-04-15T18:56:51.882Z | Mission undefined STOPPED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:06.250 | min_dist=0.18m@-38° | obstacles(<0.5m)=400 | F/L/R/B=0.18/1.8/0.18/Infinitym | avg=1.21m var=1.99
limo2 : SCAN_LOG: t=19:00:06.250 | min_dist=1.9m@120° | obstacles(<0.5m)=0 | F/L/R/B=4.9/1.9/4.54/Infinitym | avg=5.62m var=3.34
limo1 : SCAN_LOG: t=19:00:06.375 | min_dist=0.18m@-33° | obstacles(<0.5m)=398 | F/L/R/B=0.18/1.8/0.18/Infinitym | avg=1.24m var=2.05
limo2 : SCAN_LOG: t=19:00:06.375 | min_dist=1.97m@119° | obstacles(<0.5m)=0 | F/L/R/B=4.79/1.97/5.62/Infinitym | avg=5.61m var=3.21
limo1 : SCAN_LOG: t=19:00:06.500 | min_dist=0.18m@-35° | obstacles(<0.5m)=395 | F/L/R/B=0.18/1.79/0.19/Infinitym | avg=1.3m var=2.1
limo2 : SCAN_LOG: t=19:00:06.500 | min_dist=2.06m@119° | obstacles(<0.5m)=0 | F/L/R/B=4.7/2.06/6.69/Infinitym | avg=5.6m var=3.08
limo1 : SCAN_LOG: t=19:00:06.625 | min_dist=0.19m@-47° | obstacles(<0.5m)=390 | F/L/R/B=0.19/1.78/0.19/Infinitym | avg=1.35m var=2.13
limo2 : SCAN_LOG: t=19:00:06.625 | min_dist=2.14m@120° | obstacles(<0.5m)=0 | F/L/R/B=4.6/2.14/6.55/Infinitym | avg=5.59m var=2.97
limo1 : SCAN_LOG: t=19:00:06.750 | min_dist=0.2m@-49° | obstacles(<0.5m)=383 | F/L/R/B=0.21/1.75/0.2/Infinitym | avg=1.41m var=2.14
limo2 : SCAN_LOG: t=19:00:06.750 | min_dist=2.21m@119° | obstacles(<0.5m)=0 | F/L/R/B=4.49/2.21/6.41/Infinitym | avg=5.57m var=2.86
limo1 : SCAN_LOG: t=19:00:06.875 | min_dist=0.2m@-71° | obstacles(<0.5m)=362 | F/L/R/B=0.22/1.75/0.2/Infinitym | avg=1.49m var=2.15
limo2 : SCAN_LOG: t=19:00:06.875 | min_dist=2.3m@120° | obstacles(<0.5m)=0 | F/L/R/B=4.38/2.3/6.28/Infinitym | avg=5.55m var=2.77
limo2 : SCAN_LOG: t=19:00:07.000 | min_dist=2.4m@120° | obstacles(<0.5m)=0 | F/L/R/B=4.29/2.4/6.12/Infinitym | avg=5.53m var=2.71
limo1 : SCAN_LOG: t=19:00:07.000 | min_dist=0.22m@-74° | obstacles(<0.5m)=333 | F/L/R/B=0.25/1.72/0.22/Infinitym | avg=1.64m var=2.39
limo1 : SCAN_LOG: t=19:00:07.125 | min_dist=0.25m@-82° | obstacles(<0.5m)=303 | F/L/R/B=0.31/1.7/0.25/Infinitym | avg=1.85m var=2.94
