MISSION_LOG: t=2025-04-15T15:54:05.432Z | Mission 10_0_2_15_20250415155405_864c7t STARTED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:21.125 | min_dist=0.63m@-96° | obstacles(<0.5m)=0 | F/L/R/B=0.97/2.89/0.63/Infinitym | avg=4.15m var=8.16
limo2 : SCAN_LOG: t=19:00:21.125 | min_dist=3.28m@-42° | obstacles(<0.5m)=0 | F/L/R/B=3.28/4.87/3.31/Infinitym | avg=4.78m var=1.29
limo1 : SCAN_LOG: t=19:00:21.250 | min_dist=0.63m@-95° | obstacles(<0.5m)=0 | F/L/R/B=0.99/2.92/0.63/Infinitym | avg=4.21m var=8.06
limo2 : SCAN_LOG: t=19:00:21.250 | min_dist=3.21m@-39° | obstacles(<0.5m)=0 | F/L/R/B=3.21/4.8/3.22/Infinitym | avg=4.7m var=1.32
limo1 : SCAN_LOG: t=19:00:21.375 | min_dist=0.63m@-102° | obstacles(<0.5m)=0 | F/L/R/B=0.98/2.96/0.63/Infinitym | avg=4.28m var=7.95
limo2 : SCAN_LOG: t=19:00:21.375 | min_dist=3.13m@-42° | obstacles(<0.5m)=0 | F/L/R/B=3.13/4.74/3.14/Infinitym | avg=4.63m var=1.34
limo1 : SCAN_LOG: t=19:00:21.500 | min_dist=0.63m@-90° | obstacles(<0.5m)=0 | F/L/R/B=0.99/3/0.63/Infinitym | avg=4.33m var=7.78
limo2 : SCAN_LOG: t=19:00:21.500 | min_dist=3.06m@-43° | obstacles(<0.5m)=0 | F/L/R/B=3.06/4.66/3.08/Infinitym | avg=4.56m var=1.37
limo2 : SCAN_LOG: t=19:00:21.625 | min_dist=2.98m@-41° | obstacles(<0.5m)=0 | F/L/R/B=2.98/4.61/3/Infinitym | avg=4.49m var=1.41
limo1 : SCAN_LOG: t=19:00:21.750 | min_dist=0.65m@-96° | obstacles(<0.5m)=0 | F/L/R/B=4.82/3.24/0.65/Infinitym | avg=4.5m var=7.47
limo2 : SCAN_LOG: t=19:00:21.750 | min_dist=2.91m@-42° | obstacles(<0.5m)=0 | F/L/R/B=2.91/4.54/2.92/Infinitym | avg=4.42m var=1.44
limo1 : SCAN_LOG: t=19:00:22.000 | min_dist=0.66m@-93° | obstacles(<0.5m)=0 | F/L/R/B=4.63/3.2/0.66/Infinitym | avg=4.75m var=7
limo2 : SCAN_LOG: t=19:00:22.000 | min_dist=2.76m@-36° | obstacles(<0.5m)=0 | F/L/R/B=2.76/4.41/2.76/Infinitym | avg=4.28m var=1.53
limo1 : SCAN_LOG: t=19:00:22.125 | min_dist=0.68m@-92° | obstacles(<0.5m)=0 | F/L/R/B=4.53/3.25/0.68/Infinitym | avg=4.89m var=6.61
